Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_GEO_ID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_QName,Geo_FIPS,Geo_AREALAND,Geo_AREAWATR,Geo_PLACESE,Geo_ZCTA3,SE_A14006_001
"ACSSF","pa","140","00",,,,"42","101",,,"001302",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US42101001302","Census Tract 13.02",,,"Census Tract 13.02, Philadelphia County, Pennsylvania","42101001302","556886","60583",,,101884
"ACSSF","pa","140","00",,,,"42","101",,,"001400",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US42101001400","Census Tract 14",,,"Census Tract 14, Philadelphia County, Pennsylvania","42101001400","315833","0",,,98981
"ACSSF","pa","140","00",,,,"42","101",,,"001500",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US42101001500","Census Tract 15",,,"Census Tract 15, Philadelphia County, Pennsylvania","42101001500","239383","0",,,108378
"ACSSF","pa","140","00",,,,"42","101",,,"001600",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US42101001600","Census Tract 16",,,"Census Tract 16, Philadelphia County, Pennsylvania","42101001600","196389","0",,,144954
"ACSSF","pa","140","00",,,,"42","101",,,"001700",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US42101001700","Census Tract 17",,,"Census Tract 17, Philadelphia County, Pennsylvania","42101001700","212720","0",,,145833
"ACSSF","pa","140","00",,,,"42","101",,,"001800",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US42101001800","Census Tract 18",,,"Census Tract 18, Philadelphia County, Pennsylvania","42101001800","242440","0",,,121719
"ACSSF","pa","140","00",,,,"42","101",,,"001900",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US42101001900","Census Tract 19",,,"Census Tract 19, Philadelphia County, Pennsylvania","42101001900","328328","0",,,144261
"ACSSF","pa","140","00",,,,"42","101",,,"002000",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US42101002000","Census Tract 20",,,"Census Tract 20, Philadelphia County, Pennsylvania","42101002000","290083","0",,,106420
"ACSSF","pa","140","00",,,,"42","101",,,"002100",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US42101002100","Census Tract 21",,,"Census Tract 21, Philadelphia County, Pennsylvania","42101002100","237519","0",,,116354
"ACSSF","pa","140","00",,,,"42","101",,,"002200",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US42101002200","Census Tract 22",,,"Census Tract 22, Philadelphia County, Pennsylvania","42101002200","228697","0",,,73462
"ACSSF","pa","140","00",,,,"42","101",,,"002300",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US42101002300","Census Tract 23",,,"Census Tract 23, Philadelphia County, Pennsylvania","42101002300","212379","0",,,125781
"ACSSF","pa","140","00",,,,"42","101",,,"002400",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US42101002400","Census Tract 24",,,"Census Tract 24, Philadelphia County, Pennsylvania","42101002400","535423","0",,,84732
"ACSSF","pa","140","00",,,,"42","101",,,"002500",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US42101002500","Census Tract 25",,,"Census Tract 25, Philadelphia County, Pennsylvania","42101002500","393627","0",,,83508
"ACSSF","pa","140","00",,,,"42","101",,,"002701",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US42101002701","Census Tract 27.01",,,"Census Tract 27.01, Philadelphia County, Pennsylvania","42101002701","224842","0",,,95224
"ACSSF","pa","140","00",,,,"42","101",,,"002702",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US42101002702","Census Tract 27.02",,,"Census Tract 27.02, Philadelphia County, Pennsylvania","42101002702","367675","0",,,99797
"ACSSF","pa","140","00",,,,"42","101",,,"002801",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US42101002801","Census Tract 28.01",,,"Census Tract 28.01, Philadelphia County, Pennsylvania","42101002801","222950","0",,,71027
"ACSSF","pa","140","00",,,,"42","101",,,"002802",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US42101002802","Census Tract 28.02",,,"Census Tract 28.02, Philadelphia County, Pennsylvania","42101002802","362691","0",,,94427
"ACSSF","pa","140","00",,,,"42","101",,,"002900",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US42101002900","Census Tract 29",,,"Census Tract 29, Philadelphia County, Pennsylvania","42101002900","370256","0",,,104981
"ACSSF","pa","140","00",,,,"42","101",,,"003001",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US42101003001","Census Tract 30.01",,,"Census Tract 30.01, Philadelphia County, Pennsylvania","42101003001","226545","0",,,55288
"ACSSF","pa","140","00",,,,"42","101",,,"003002",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US42101003002","Census Tract 30.02",,,"Census Tract 30.02, Philadelphia County, Pennsylvania","42101003002","226952","0",,,78843
"ACSSF","pa","140","00",,,,"42","101",,,"003100",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US42101003100","Census Tract 31",,,"Census Tract 31, Philadelphia County, Pennsylvania","42101003100","395912","0",,,83620
"ACSSF","pa","140","00",,,,"42","101",,,"003200",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US42101003200","Census Tract 32",,,"Census Tract 32, Philadelphia County, Pennsylvania","42101003200","491790","0",,,68250
"ACSSF","pa","140","00",,,,"42","101",,,"003300",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US42101003300","Census Tract 33",,,"Census Tract 33, Philadelphia County, Pennsylvania","42101003300","1063815","96702",,,80850
"ACSSF","pa","140","00",,,,"42","101",,,"003600",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US42101003600","Census Tract 36",,,"Census Tract 36, Philadelphia County, Pennsylvania","42101003600","964586","0",,,43688
"ACSSF","pa","140","00",,,,"42","101",,,"003701",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US42101003701","Census Tract 37.01",,,"Census Tract 37.01, Philadelphia County, Pennsylvania","42101003701","355619","0",,,69896
"ACSSF","pa","140","00",,,,"42","101",,,"003702",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US42101003702","Census Tract 37.02",,,"Census Tract 37.02, Philadelphia County, Pennsylvania","42101003702","247351","0",,,47760
"ACSSF","pa","140","00",,,,"42","101",,,"003800",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US42101003800","Census Tract 38",,,"Census Tract 38, Philadelphia County, Pennsylvania","42101003800","1089240","0",,,94538
"ACSSF","pa","140","00",,,,"42","101",,,"003901",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US42101003901","Census Tract 39.01",,,"Census Tract 39.01, Philadelphia County, Pennsylvania","42101003901","420397","0",,,59262
"ACSSF","pa","140","00",,,,"42","101",,,"003902",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US42101003902","Census Tract 39.02",,,"Census Tract 39.02, Philadelphia County, Pennsylvania","42101003902","452952","0",,,87258
"ACSSF","pa","140","00",,,,"42","101",,,"004001",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US42101004001","Census Tract 40.01",,,"Census Tract 40.01, Philadelphia County, Pennsylvania","42101004001","314911","0",,,82258
"ACSSF","pa","140","00",,,,"42","101",,,"004002",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US42101004002","Census Tract 40.02",,,"Census Tract 40.02, Philadelphia County, Pennsylvania","42101004002","344839","0",,,94150
"ACSSF","pa","140","00",,,,"42","101",,,"004101",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US42101004101","Census Tract 41.01",,,"Census Tract 41.01, Philadelphia County, Pennsylvania","42101004101","374000","0",,,72500
"ACSSF","pa","140","00",,,,"42","101",,,"004103",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US42101004103","Census Tract 41.03",,,"Census Tract 41.03, Philadelphia County, Pennsylvania","42101004103","190517","0",,,52083
"ACSSF","pa","140","00",,,,"42","101",,,"004104",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US42101004104","Census Tract 41.04",,,"Census Tract 41.04, Philadelphia County, Pennsylvania","42101004104","201337","0",,,62857
"ACSSF","pa","140","00",,,,"42","101",,,"004201",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US42101004201","Census Tract 42.01",,,"Census Tract 42.01, Philadelphia County, Pennsylvania","42101004201","337995","0",,,84500
"ACSSF","pa","140","00",,,,"42","101",,,"004202",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US42101004202","Census Tract 42.02",,,"Census Tract 42.02, Philadelphia County, Pennsylvania","42101004202","453345","0",,,75984
"ACSSF","pa","140","00",,,,"42","101",,,"005400",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US42101005400","Census Tract 54",,,"Census Tract 54, Philadelphia County, Pennsylvania","42101005400","1846263","530013",,,56197
"ACSSF","pa","140","00",,,,"42","101",,,"005500",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US42101005500","Census Tract 55",,,"Census Tract 55, Philadelphia County, Pennsylvania","42101005500","1168597","12010",,,67063
"ACSSF","pa","140","00",,,,"42","101",,,"005600",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US42101005600","Census Tract 56",,,"Census Tract 56, Philadelphia County, Pennsylvania","42101005600","840413","0",,,35474
"ACSSF","pa","140","00",,,,"42","101",,,"006000",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US42101006000","Census Tract 60",,,"Census Tract 60, Philadelphia County, Pennsylvania","42101006000","1071395","0",,,44199
"ACSSF","pa","140","00",,,,"42","101",,,"006100",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US42101006100","Census Tract 61",,,"Census Tract 61, Philadelphia County, Pennsylvania","42101006100","535234","0",,,45521
"ACSSF","pa","140","00",,,,"42","101",,,"006200",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,"1400000US42101006200","Census Tract 62",,,"Census Tract 62, Philadelphia County, Pennsylvania","42101006200","509635","0",,,48634
